keys,freq,word1,word2
"""un bet""",2,un,bet
"""un drink""",2,un,drink
"""pero chill""",2,pero,chill
"""mi bday""",2,mi,bday
"""mi jacket""",2,mi,jacket
"""el email""",2,el,email
"""que you""",2,que,you
"""jajaja what""",2,jajaja,what
"""el notification""",2,el,notification
"""pues lol""",2,pues,lol
"""la movie""",2,la,movie
"""haya vlog""",2,haya,vlog
"""nuevo look""",2,nuevo,look
"""un fake""",2,un,fake
"""pero what""",2,pero,what
"""de snupchut""",2,de,snupchut
"""palo selfie""",2,palo,selfie
"""mi single""",2,mi,single
"""segundo vlog""",2,segundo,vlog
"""lo has""",2,lo,has
"""de trash""",2,de,trash
"""de sweet""",2,de,sweet
"""mano i""",2,mano,i
"""jajajaja true""",2,jajajaja,true
"""su flow""",2,su,flow
"""a ocean""",2,a,ocean
"""jajajaja i""",2,jajajaja,i
"""el tattoo""",2,el,tattoo
"""de connect""",2,de,connect
"""tu tweet""",2,tu,tweet
"""los outfits""",2,los,outfits
"""el gift""",2,el,gift
"""el christmas""",2,el,christmas
"""nuevos outfits""",2,nuevos,outfits
"""y large""",2,y,large
"""aretes earrings""",2,aretes,earrings
"""collar salhuaclothing""",2,collar,salhuaclothing
"""tu gift""",2,tu,gift
"""accesorios earrings""",2,accesorios,earrings
"""en salhuaclothing""",2,en,salhuaclothing
"""envíos free""",2,envíos,free
"""agotar stock""",2,agotar,stock
"""flores salhuaclothing""",2,flores,salhuaclothing
"""el outfit""",2,el,outfit
"""atractiva salhuaclothing""",2,atractiva,salhuaclothing
"""pronto salhuaclothing""",2,pronto,salhuaclothing
"""este look""",2,este,look
"""una pic""",2,una,pic
"""que cuuuute""",2,que,cuuuute
"""de shopping""",2,de,shopping
"""mis stories""",2,mis,stories
"""el story""",2,el,story
"""bien fucking""",2,bien,fucking
"""que badtrip""",2,que,badtrip
"""de senior""",2,de,senior
"""di like""",2,di,like
"""tu wallet""",2,tu,wallet
"""vamo 'a""",2,vamo,'a
"""estoy dead""",2,estoy,dead
"""del work""",2,del,work
"""la has""",2,la,has
"""no words""",2,no,words
"""el red""",2,el,red
"""de stylist""",2,de,stylist
"""su look""",2,su,look
"""gracias baby""",2,gracias,baby
"""revista open""",2,revista,open
"""bella friend""",2,bella,friend
"""del show""",2,del,show
"""y giuseppeshoes""",2,y,giuseppeshoes
"""tacos tomorrow""",2,tacos,tomorrow
"""es french""",2,es,french
"""mis friends""",2,mis,friends
