keys,freq,word1,word2
"""to ab""",25,to,ab
"""krny ki""",25,krny,ki
"""or un""",25,or,un
"""he nahi""",25,he,nahi
"""the na""",25,the,na
"""government ke""",25,government,ke
"""state se""",25,state,se
"""level ki""",25,level,ki
"""sb k""",25,sb,k
"""development ki""",25,development,ki
"""years se""",25,years,se
"""krne ka""",25,krne,ka
"""real me""",25,real,me
"""post kar""",25,post,kar
"""band hai""",25,band,hai
"""help ke""",25,help,ke
"""arrest kar""",25,arrest,kar
"""ram rahim""",25,ram,rahim
"""upload kar""",24,upload,kar
"""to allah""",24,to,allah
"""comment kar""",24,comment,kar
"""the tab""",24,the,tab
"""enjoy karo""",24,enjoy,karo
"""free me""",24,free,me
"""account hai""",24,account,hai
"""de de""",24,de,de
"""country me""",24,country,me
"""school ki""",24,school,ki
"""to kia""",24,to,kia
"""trump se""",24,trump,se
"""is time""",24,is,time
"""team me""",24,team,me
"""h ye""",24,h,ye
"""log h""",24,log,h
"""form me""",24,form,me
"""to ye""",24,to,ye
"""parents ko""",24,parents,ko
"""ki hai""",24,ki,hai
"""hone ka""",24,hone,ka
"""court se""",24,court,se
"""to hm""",24,to,hm
"""in hindi""",24,in,hindi
"""tweets se""",24,tweets,se
"""of u""",24,of,u
"""day pe""",24,day,pe
"""hy or""",24,hy,or
"""ka kya""",24,ka,kya
"""share kr""",24,share,kr
"""to na""",23,to,na
"""p m""",23,p,m
"""jihad ka""",23,jihad,ka
"""clear kar""",23,clear,kar
"""company ke""",23,company,ke
"""terrorism ko""",23,terrorism,ko
"""government ka""",23,government,ka
"""gy to""",23,gy,to
"""twitter pe""",23,twitter,pe
"""ji insan""",23,ji,insan
"""follow nahi""",23,follow,nahi
"""congress walo""",23,congress,walo
"""or sun""",23,or,sun
"""pakistan se""",23,pakistan,se
"""issue hai""",23,issue,hai
"""se ek""",23,se,ek
"""development ke""",23,development,ke
"""parents ki""",23,parents,ki
"""kon c""",23,kon,c
"""start kr""",23,start,kr
"""time ki""",23,time,ki
"""for kashmir""",23,for,kashmir
"""or han""",23,or,han
"""ki tarah""",23,ki,tarah
"""bakra eid""",23,bakra,eid
"""post par""",23,post,par
"""insta pe""",23,insta,pe
"""krny k""",23,krny,k
"""sonia ji""",23,sonia,ji
"""to pta""",23,to,pta
"""rahy ho""",23,rahy,ho
"""to use""",22,to,use
"""rahy han""",22,rahy,han
"""bary main""",22,bary,main
"""speech sun""",22,speech,sun
"""es se""",22,es,se
"""depend karta""",22,depend,karta
"""opposition ko""",22,opposition,ko
"""k sat""",22,k,sat
"""kr kr""",22,kr,kr
"""yogi ji""",22,yogi,ji
"""cow ko""",22,cow,ko
"""islamabad me""",22,islamabad,me
"""crush hai""",22,crush,hai
"""a gaya""",22,a,gaya
"""india ne""",22,india,ne
"""g g""",22,g,g
"""publicity ke""",22,publicity,ke
"""video to""",22,video,to
"""state mein""",22,state,mein
"""pta ni""",22,pta,ni
"""or unke""",22,or,unke
"""per bhi""",22,per,bhi
"""to wo""",22,to,wo
"""le kr""",22,le,kr
"""in sab""",22,in,sab
"""market me""",22,market,me
"""band kro""",22,band,kro
"""change ho""",22,change,ho
"""wish kar""",22,wish,kar
"""k pas""",22,k,pas
"""or muslim""",22,or,muslim
"""release ho""",22,release,ho
"""to same""",22,to,same
"""me b""",22,me,b
"""karny k""",22,karny,k
"""kr ke""",22,kr,ke
"""mission mangal""",22,mission,mangal
"""ka bhi""",22,ka,bhi
"""link de""",22,link,de
"""kr ky""",21,kr,ky
"""as gaya""",21,as,gaya
"""k peechy""",21,k,peechy
"""k beech""",21,k,beech
"""mtlb ye""",21,mtlb,ye
"""name se""",21,name,se
"""language me""",21,language,me
"""is bande""",21,is,bande
"""whatsapp pe""",21,whatsapp,pe
"""per tum""",21,per,tum
"""de rahi""",21,de,rahi
"""ap ny""",21,ap,ny
"""life mein""",21,life,mein
"""day k""",21,day,k
"""parents ka""",21,parents,ka
"""reporter ko""",21,reporter,ko
"""decision liya""",21,decision,liya
"""to un""",21,to,un
"""rss ka""",21,rss,ka
"""ke time""",21,ke,time
"""k name""",21,k,name
"""trade band""",21,trade,band
"""send kar""",21,send,kar
"""terrorist nahi""",21,terrorist,nahi
"""is like""",21,is,like
"""link ko""",21,link,ko
"""ap ko""",21,ap,ko
"""logo ne""",20,logo,ne
"""rape ki""",20,rape,ki
"""school ke""",20,school,ke
"""saw ne""",20,saw,ne
"""or b""",20,or,b
"""amit shah""",20,amit,shah
"""kar rahe""",20,kar,rahe
"""reporters ko""",20,reporters,ko
"""app se""",20,app,se
"""girls ko""",20,girls,ko
"""to or""",20,to,or
"""wazir e""",20,wazir,e
"""black day""",20,black,day
"""or mere""",20,or,mere
"""to q""",20,to,q
"""gov ne""",20,gov,ne
"""option hai""",20,option,hai
"""ko v""",20,ko,v
"""topic pe""",20,topic,pe
"""ye tweet""",20,ye,tweet
"""indians ka""",20,indians,ka
"""kar rha""",20,kar,rha
"""but tum""",20,but,tum
"""rs ka""",20,rs,ka
"""common sense""",20,common,sense
"""govt k""",20,govt,k
"""time pass""",20,time,pass
"""achi bat""",20,achi,bat
"""station par""",20,station,par
"""indians ke""",20,indians,ke
"""action le""",20,action,le
"""de kr""",20,de,kr
"""en ko""",20,en,ko
"""ha or""",20,ha,or
"""ne india""",20,ne,india
"""mat karo""",20,mat,karo
"""to pura""",20,to,pura
"""team se""",20,team,se
"""rahy ha""",20,rahy,ha
"""level ke""",20,level,ke
"""eid k""",20,eid,k
"""he ap""",20,he,ap
"""court ka""",20,court,ka
"""is sy""",20,is,sy
"""singh ji""",20,singh,ji
"""k ap""",20,k,ap
"""day aur""",20,day,aur
"""fail ho""",20,fail,ho
"""doctors ko""",20,doctors,ko
"""k logon""",20,k,logon
"""ki thi""",20,ki,thi
"""to nai""",20,to,nai
"""with kashmir""",20,with,kashmir
"""hota h""",20,hota,h
"""ne tweet""",20,ne,tweet
"""hota to""",20,hota,to
"""level tak""",19,level,tak
"""ajit doval""",19,ajit,doval
"""terrorist ho""",19,terrorist,ho
"""language hai""",19,language,hai
"""k nam""",19,k,nam
"""leaders ki""",19,leaders,ki
"""gand marwa""",19,gand,marwa
"""twitter ke""",19,twitter,ke
"""or tera""",19,or,tera
"""or jo""",19,or,jo
"""ka to""",19,ka,to
"""beta ek""",19,beta,ek
"""ji ne""",19,ji,ne
"""area mein""",19,area,mein
"""and amit""",19,and,amit
"""time ka""",19,time,ka
"""afghanistan me""",19,afghanistan,me
"""congress ab""",19,congress,ab
"""video hai""",19,video,hai
"""to le""",19,to,le
"""kr skta""",19,kr,skta
"""block ho""",19,block,ho
"""balakot se""",19,balakot,se
"""es ka""",19,es,ka
"""city ka""",19,city,ka
"""hamid mir""",19,hamid,mir
"""confirm kar""",19,confirm,kar
"""or allah""",19,or,allah
"""minister ji""",19,minister,ji
"""court me""",19,court,me
"""thy aur""",19,thy,aur
"""hy ya""",19,hy,ya
"""secular hai""",19,secular,hai
"""bagga ji""",19,bagga,ji
"""army aur""",19,army,aur
"""ho to""",19,ho,to
"""leader ko""",19,leader,ko
"""animals ko""",19,animals,ko
"""ker k""",19,ker,k
"""west bengal""",19,west,bengal
"""minister ne""",19,minister,ne
"""tweets ko""",19,tweets,ko
"""kar raha""",19,kar,raha
"""or hindu""",19,or,hindu
"""drama kar""",19,drama,kar
"""islam me""",19,islam,me
"""party hai""",19,party,hai
"""strike ki""",19,strike,ki
"""with u""",19,with,u
"""iwant kaomiya""",19,iwant,kaomiya
"""or ya""",18,or,ya
"""nai hai""",18,nai,hai
"""islam k""",18,islam,k
"""ban kar""",18,ban,kar
"""ke log""",18,ke,log
"""congress mein""",18,congress,mein
"""reject ho""",18,reject,ho
"""skte h""",18,skte,h
"""big boss""",18,big,boss
"""mars pe""",18,mars,pe
"""time par""",18,time,par
"""dene ke""",18,dene,ke
"""ki bat""",18,ki,bat
"""to in""",18,to,in
"""logo ka""",18,logo,ka
"""kr rahy""",18,kr,rahy
"""opposition me""",18,opposition,me
"""respect karta""",18,respect,karta
"""family me""",18,family,me
"""to tanhaji""",18,to,tanhaji
"""is bat""",18,is,bat
"""support nhi""",18,support,nhi
"""for me""",18,for,me
"""rahy hen""",18,rahy,hen
"""crush ko""",18,crush,ko
"""police k""",18,police,k
"""h jo""",18,h,jo
"""convert ho""",18,convert,ho
"""major saab""",18,major,saab
"""he nai""",18,he,nai
"""kch ni""",18,kch,ni
"""is barish""",18,is,barish
"""per ye""",18,per,ye
"""convert kar""",18,convert,kar
"""thy ab""",18,thy,ab
"""politicians ko""",18,politicians,ko
"""bary me""",18,bary,me
"""thanks mere""",18,thanks,mere
"""state ko""",18,state,ko
"""is ko""",18,is,ko
"""es ko""",18,es,ko
"""35a ke""",18,35a,ke
"""log hai""",18,log,hai
"""news wale""",18,news,wale
"""krne ke""",18,krne,ke
"""b ni""",18,b,ni
"""love you""",18,love,you
"""hony wala""",18,hony,wala
"""wish nahi""",18,wish,nahi
"""brides le""",18,brides,le
"""es video""",18,es,video
"""or ham""",18,or,ham
"""or phr""",18,or,phr
"""k baray""",18,k,baray
"""triple talak""",18,triple,talak
"""youtube par""",18,youtube,par
"""media se""",18,media,se
"""result hai""",18,result,hai
"""ny kashmir""",18,ny,kashmir
"""ratio theek""",18,ratio,theek
"""muhammad bin""",18,muhammad,bin
"""congress kya""",17,congress,kya
"""afghanistan se""",17,afghanistan,se
"""year se""",17,year,se
"""thanks sir""",17,thanks,sir
"""rss ke""",17,rss,ke
"""send kr""",17,send,kr
"""trump ke""",17,trump,ke
"""i mean""",17,i,mean
"""twitter k""",17,twitter,k
"""rights ki""",17,rights,ki
"""youth ko""",17,youth,ko
"""months se""",17,months,se
"""bbc ko""",17,bbc,ko
"""tweet ka""",17,tweet,ka
"""daikh k""",17,daikh,k
"""ho rahi""",17,ho,rahi
"""day par""",17,day,par
"""account me""",17,account,me
"""tweets ki""",17,tweets,ki
"""video share""",17,video,share
"""time to""",17,time,to
"""rs ki""",17,rs,ki
"""bare me""",17,bare,me
"""famous hone""",17,famous,hone
"""state ke""",17,state,ke
"""in china""",17,in,china
"""strike ka""",17,strike,ka
"""feel ho""",17,feel,ho
"""east pakistan""",17,east,pakistan
"""same here""",17,same,here
"""compare kr""",17,compare,kr
"""help karte""",17,help,karte
"""is trha""",17,is,trha
"""to pata""",17,to,pata
"""krne ki""",17,krne,ki
"""dm kar""",17,dm,kar
"""army na""",17,army,na
"""sb log""",17,sb,log
"""to banta""",17,to,banta
"""se problem""",17,se,problem
"""change karna""",17,change,karna
"""k liay""",17,k,liay
"""k karan""",17,k,karan
"""available hai""",17,available,hai
"""difference hai""",17,difference,hai
"""target kiya""",17,target,kiya
"""he me""",17,he,me
"""shut up""",17,shut,up
"""apny ap""",17,apny,ap
"""or me""",17,or,me
"""major sahab""",17,major,sahab
"""nam pr""",17,nam,pr
"""try kar""",17,try,kar
"""me job""",17,me,job
"""or sindh""",17,or,sindh
"""speech ka""",17,speech,ka
"""pe dhyan""",17,pe,dhyan
"""hy is""",17,hy,is
"""a gya""",17,a,gya
"""to theek""",17,to,theek
"""unsc ne""",17,unsc,ne
"""bomb blast""",17,bomb,blast
"""safety ke""",17,safety,ke
"""phr b""",17,phr,b
"""ho raha""",17,ho,raha
"""pm sir""",17,pm,sir
"""to de""",17,to,de
"""mansik santulan""",17,mansik,santulan
"""v nhi""",17,v,nhi
"""think ye""",17,think,ye
"""h aur""",17,h,aur
"""account ko""",17,account,ko
"""search kar""",17,search,kar
"""card khel""",17,card,khel
"""level hai""",17,level,hai
"""but i""",17,but,i
"""or shah""",16,or,shah
"""youm e""",16,youm,e
"""family hai""",16,family,hai
"""room me""",16,room,me
"""to mai""",16,to,mai
"""team ka""",16,team,ka
"""hospital mai""",16,hospital,mai
"""news par""",16,news,par
"""follow kar""",16,follow,kar
"""etc ko""",16,etc,ko
"""make up""",16,make,up
"""bbc ki""",16,bbc,ki
"""dna me""",16,dna,me
"""group me""",16,group,me
"""g me""",16,g,me
"""australia me""",16,australia,me
