keys,freq,word1,word2
"""gilgit baltistan""",23,gilgit,baltistan
"""ko free""",23,ko,free
"""do you""",23,do,you
"""q k""",23,q,k
"""i feel""",23,i,feel
"""apne army""",23,apne,army
"""aaj independence""",23,aaj,independence
"""ki is""",23,ki,is
"""allah saw""",22,allah,saw
"""sadhna channel""",22,sadhna,channel
"""up police""",22,up,police
"""india pakistan""",22,india,pakistan
"""ye congress""",22,ye,congress
"""iska mtlb""",22,iska,mtlb
"""isi agent""",22,isi,agent
"""ka internal""",22,ka,internal
"""ga or""",22,ga,or
"""din se""",22,din,se
"""me the""",22,me,the
"""kashmir committee""",22,kashmir,committee
"""khan k""",22,khan,k
"""tha tab""",22,tha,tab
"""sahi h""",22,sahi,h
"""ji or""",22,ji,or
"""congress party""",22,congress,party
"""gand me""",22,gand,me
"""allah pakistan""",22,allah,pakistan
"""to pure""",22,to,pure
"""apni government""",22,apni,government
"""hai he""",22,hai,he
"""or pakistan""",22,or,pakistan
"""zee news""",22,zee,news
"""india is""",22,india,is
"""main or""",22,main,or
"""chal be""",22,chal,be
"""log hi""",22,log,hi
"""i guess""",22,i,guess
"""ka level""",22,ka,level
"""kiya to""",22,kiya,to
"""ki b""",22,ki,b
"""abhi tak""",22,abhi,tak
"""pakistan is""",22,pakistan,is
"""same to""",22,same,to
"""ki pics""",22,ki,pics
"""ga to""",22,ga,to
"""de kr""",22,de,kr
"""wo indian""",22,wo,indian
"""le k""",22,le,k
"""ka link""",22,ka,link
"""se tweet""",21,se,tweet
"""tak congress""",21,tak,congress
"""or is""",21,or,is
"""bhi religion""",21,bhi,religion
"""bhi govt""",21,bhi,govt
"""jo ki""",21,jo,ki
"""tumhari economy""",21,tumhari,economy
"""to twitter""",21,to,twitter
"""time pe""",21,time,pe
"""ban kr""",21,ban,kr
"""skta h""",21,skta,h
"""apne area""",21,apne,area
"""e pakistan""",21,e,pakistan
"""ek episode""",21,ek,episode
"""tu or""",21,tu,or
"""please sir""",21,please,sir
"""am from""",21,am,from
"""ka part""",21,ka,part
"""apne family""",21,apne,family
"""india ka""",21,india,ka
"""hai in""",21,hai,in
"""hu to""",21,hu,to
"""to ek""",21,to,ek
"""it is""",21,it,is
"""ek family""",21,ek,family
"""ka supporter""",21,ka,supporter
"""mujhe block""",21,mujhe,block
"""koi new""",21,koi,new
"""ki pic""",21,ki,pic
"""ka payment""",21,ka,payment
"""kashmir or""",20,kashmir,or
"""pure pakistan""",20,pure,pakistan
"""army me""",20,army,me
