keys,word1,word2,Tweets
"""la has""",la,has,    la has their own set of issues with injuries but they’re still very good. more worried about them than sf whom i’m surprised hasn’t fallen off a cliff yet.
"""la has""",la,has," this claim is called vacancy trutherism, and tbh there isn’t much data to back it up. la has among the lowest vacancy rates of any metro area in the u.s., we’re the most overcrowded, and we’ve built new housing at record low rates "
"""la has""",la,has,"this happens literally every time i see someone talk about why japan isn't actually that great of a place to live in. their points are either of no issue or bother to me, or don't take into account that la has it way worse on some points."
"""la has""",la,has," in haiti  batay la  has been ongoing since before the slave revolution that founded the caribbean nation. led by anti-imperialist movement batay ouvriye, haitian workers continue the revolutionary struggle.  watch malia bruker's short documentary, batay la, live at  "
"""la has""",la,has,"  rams live rent free in ward's mind fr  at least la has a starting qb rn, not like the 49ers  lions didn't cared about stafford's health and that's why they didn't built a team around him, he's clearly a fighter not like garoppolo"
"""la has""",la,has," la has more opportunity for tv/film and if i had to do it over, i'd probably try to focus in that area so i could feed myself.  i been on broadway, i have a helen hayes award and i'm still self-submitting for a job at st. louis rep and i ain't getting called in.  go make money."
"""la has""",la,has,    the system in la has been broken for years with devastating consequences.
"""la has""",la,has," i’m so relieved that you tweeted this because i feel like i’m just finding people that i enjoy consistently being around, la has this weird balance of being fruitful while also being lonely at times. i’m happy we’re finding our people! 🥳 "
"""la has""",la,has, woe i aint talk to u in a minute yo  hope erything good. but nah khris going to tokyo soon as this series ova but i can dm u some more details cuz his sister is based in la has a beauty store.... we can def set something up bro bro
"""la has""",la,has, la has some awesome finds on marketplace tho
"""la has""",la,has,"i’m an east coast kid at heart but la has become home for me. i’m looking forward to building our company here, thriving here, and pouring back into the community here in the greater la area, i.e. and orange county."
"""la has""",la,has,  she’s saying la has mild summer weather
"""la has""",la,has," yes but i know families who’ve had direct payments who haven’t been able to find pa’s so the la has had to fund agency at £20-30 an hour. your 42 hour care plan should be funded, not part funded."
"""la has""",la,has,"it takes a village, but we don’t have villages. we need intentional building and zoning that allows for them.   the fact is that la has to build up. let’s do it right.      "
"""la has""",la,has,every girl in la has at least two songs written abt them
"""la has""",la,has," i question the accuracy of any of this.   just look at the texas flight....5 are positive, of a very small number.  yet they report that la has 97% of all cases and deaths are unvaccinated."
"""la has""",la,has,"betty crean la has been in my tracker a while, but i got my money off her lto so chose to leave her today, 15/8 looks a good price now but tough race."
